text,polarity
نهایتا،  یک دوربین VGA نیز برای انجام مکالمات تصویری در قسمت جلویی گوشی تعبیه گردیده است.,0
حتي فرکانس پردازندشم تا 1800 GHz واسه هر هسته جا داره که من رو 1500 GHz گذاشتم.,0
اما با اینکه شکل کلی iOS تغییری نداشته است، ولی به گفته کمپانی اپل، هیچ برنامه ای نیست که در نسخه جدید iOS بهتر نشده باشد.,1
به عنوان مثال اگر نیاز به دستگاه های پرینتر،  اسکنر،  فکس و کپی داشته باشید،  مجبورید که هر چهار دستگاه را جداگانه تهیه کنید؟,0
تصاویر گرفته شده با دوربین 8 مگا پیکسلی این گوشی (که به سنسور Exmore R نیز مجهز است) از کیفیت نسبتا خوبی برخوردارند.,1
هرچند که Siri هم می‌تواند کامل‌تر از این باشد،  ولی تا حدودی کار کردن با آن از چیزی که بر روی سیستم عامل Google Android می‌بینیم راحت‌تر است.,1
زوم کامل اپتیکال در هنگام فیلم برداری مقدور می‌باشد.,1
و چه بهتر که ما کارايي را به پرستيژ نفروشيم.,0
نه دوربين هاي رقيب.,0
از دوربينم راضيم و در خريدش شک نکنيد.,1
فیلم‌برداری Xperia V نیز شرایط یکسانی دارد و بسیار خوب است.,2
"باز هم طبق روال،  این دوربین دارای همه ی مودهای عکاسی از مود کاملا اتوماتیک خودکار هوشمند گرفته تا مودهای دستی P,A,S,M را دارا می باشد.",1
اگه کمي هم جستجو بکنيد ،  ميتونيد هدست بلوتوث استريوي سامسونگ رو هم پيدا کنيد که ديگه جواب دادن تلفن و گوش کردن موسيقي با کيفيت عالي هم کار راحتي ميشه.,1
از نظر عملکرد در حساسیت‌های مختلف هم باید گفت که،  نویز تنها از ایزو 800 می‌تواند مقداری مشکل ساز باشد.,-1
نمایشگر لمسی HS900 اکنون کاملا بزرگتر،  پاسخگو تر،  روان تر و شفاف تر است.,1
وزن ان نسبت به S2  پنج گرم بيشتر شده است .,0
از کنترل چرخنده ی جلوی دوربین هم دیگر خبری نیست.,0
البته روش هايي وجود دارند که از شناسايي شون شما توسط مايکروسافت جلوگيري ميکنند اما قطعي نيستند.,0
"اگر يک سامسونگ p3100 داشته باشين، يک لپ تاپ و يک اسمارت فون
از همه بيشتر از سامسونک p3100 استفاده خواهيد کرد از دانشجو تا مهندس و پزشک همه لازمتون ميشه
بهترين سايز 7 اينج هست و بهترينش تا امروز p3100
نکسوس هم خوبه ولي بعضي کارارو که تو ايران ميشه انجام داد بايد sim card داشته باشين",1
اهرم زوم اپتیکال نیز پیرامون همین دکمه‌ی شاتر قرار گرفته است.,0
همه چي تمومه هم قيافه هم سخت افزار,2
اگه شما هم مثل من دو دل بودين.,0
واقعا کيفيت تصويرش بهتر از اون چيزيه که فکرشو بکني.,1
اولا: تصوير برداري با ان بسيار سخت ميباشد به دليل نداشتن دکمه تله وايد روي دستگاه و سفت بودن رينگ زوم روي لنز اورجينال که چرخاندن ان و تله وايد کردن باعث تکان خوردن دوربين شده و تصوير را خراب ميکند و در ضمن صداي ان هم درتصوير ضبط ميشود.,-2
مرسي از ديجي کالاي عزيز,0
"من که ازش راضي ام 
",1
یا اینکه بین مودهای لرزش گیری Standard Steady Shot یا Active Mode انتخاب کنید که تا 10 برابر بدون هیچ گونه عارضه‌ی جانبی مؤثر تر است.,1
5-واز همه جالبتر دو سيم کارته بودن گوشي هست که هيچ گوشي ديگري با اين قيمت و مشخصات نميتونه باهاش رقابت کنه.,1
//.,0
علاقمندان به فيلم برداري حالا مي توانند به راحتي تصاوير تمام HD کاملا سينمايي و با کيفيت صداي فوق العاده داشته باشند.,2
يکي از بهترين تبلت هاي بازاره  عاليه,2
